Job Code,Date Accessed,Full URL,Title,Agency,Pay scale & grade,Remote job,Telework eligible,Travel Required,Relocation expenses reimbursed,Appointment type,Work schedule,Hiring Process,Promotion Potential,Supervisory Status,Security Clearance,Drug Test,salary_min,salary_max,Keyword
819727400,2024-12-08,https://www.usajobs.gov/job/819727400,INTERDISCIPLINARY ENVIRONMENTAL ENGINEER/PHYSICAL SCIENTIST,Department of the Navy,GS 11 - 12,No,"Yes—This position is eligible for part time, substantial or ad-hoc telework at the discretion of management.",Occasional travel - You may be expected to travel for this position.,Yes—Relocation incentives as described in 5 USC 5753 may be authorized in accordance with applicable regulations. PCS is not authorized.,Permanent,Full-time,Competitive,12,No,Secret,No,75640,120387,"Data Engineer, Data Scientist"
819733300,2024-12-08,https://www.usajobs.gov/job/819733300,Program Analyst,Department of the Treasury,GS 12 - 13,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,13,No,Not Required,No,86962,167336,Data Analyst
819734200,2024-12-08,https://www.usajobs.gov/job/819734200,CIVIL ENGINEER (STRUCTURAL),Department of the Navy,GS 12,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel for this position.,Yes—You may qualify for reimbursement of relocation expenses in accordance with agency policy.,Permanent,Full-time,Competitive,None,No,Secret,No,88649,115253,Data Engineer
819755400,2024-12-08,https://www.usajobs.gov/job/819755400,IT Specialist (Data/Machine Learning Engineer) (Open to both U.S. Citizens and Federal Employees),Department of Transportation,GS 14,No,"Yes—This position may be eligible for occasional and/or regularly scheduled telework. The number of telework days approved will be determined by your immediate supervisor or manager following the agency’s telework policy and guidance. If participating in the telework program, you will be required to sign a telework agreement detailing agency telework policy requirements, working conditions, and expectations for the position.",25% or less - Travel will vary by position and location.,No,Permanent,Full-Time,Competitive,14 - Promotion potential will be based on the position to which appointed. Salaries reflected on this vacancy announcement will vary based on the duty station of the appointed position.,No,Other,No,122198,191900,"Data Analyst, Data Engineer, Data Scientist"
819779400,2024-12-08,https://www.usajobs.gov/job/819779400,Civil Engineer - DIRECT HIRE,Department of Transportation,GS 07 - 12,No,Yes—As determined by the agency policy.,Occasional travel - Travel may or may not be required. The amount of travel required varies by position and location.,"Yes—Varies by position. Recruitment, relocation, or retention incentives (PCS) are determined by the hiring agency and may or may not be authorized.","Multiple Appointment Types - Appointment Type Details: Appointment Types vary depending on position (Permanent, Temporary, Term, etc.)","Multiple Schedules - Work Schedules vary depending on position (Full-time, Part-time, Intermittent, etc.)",Competitive,12,No,Other,No,54557,140713,Data Engineer
819779900,2024-12-08,https://www.usajobs.gov/job/819779900,Engineering Technician (Drafting),Department of Transportation,FV G,Yes—as determined by the agency policy.,"Occasional travel - The job may require travel from time-to-time, but not on a regular basis. The travel may be for training or other work-related duties.",No,FV G,Permanent,Full-time,Excepted,NA,No,Not Required,No,52112,80781,Data Engineer
819781000,2024-12-08,https://www.usajobs.gov/job/819781000,Engineering Technician (Focal),Department of Transportation,FV H,Yes—as determined by the agency policy.,76% or greater - The job may require 76% or more travel.,No,FV H,Permanent,Full-time,Excepted,NA,No,Not Required,Yes,73908,114563,Data Engineer
819789200,2024-12-08,https://www.usajobs.gov/job/819789200,Program Analyst,Department of the Army,GS 12 - 13,No,Yes—as determined by the agency policy.,25% or less - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,13,No,Secret,No,99200,153354,Data Analyst
819789600,2024-12-08,https://www.usajobs.gov/job/819789600,Management and Program Analyst,Department of Health and Human Services,GS 13,No,Yes—as determined by the agency policy.,Not required,No,Permanent,Full-time,Competitive,None,No,Not Required,No,109278,142065,Data Analyst
819794700,2024-12-08,https://www.usajobs.gov/job/819794700,SUPERVISORY BUSINESS SYSTEMS ANALYST,Department of the Interior,GS 14,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,14,Yes,Not Required,No,135860,176620,Data Analyst
